"final_segment_id","segment_type_ids","segment_cluster_ids","segment_cluster_names"
2016,"[1, 6, 5, 7, 8]","[131, 137, 133, 143, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2017,"[1, 6, 5, 7, 8]","[131, 137, 133, 143, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2018,"[1, 6, 5, 7, 8]","[131, 137, 133, 144, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2019,"[1, 6, 5, 7, 8]","[131, 137, 133, 144, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2020,"[1, 6, 5, 7, 8]","[131, 137, 134, 143, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2021,"[1, 6, 5, 7, 8]","[131, 137, 134, 143, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2022,"[1, 6, 5, 7, 8]","[131, 137, 134, 144, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2023,"[1, 6, 5, 7, 8]","[131, 137, 134, 144, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2024,"[1, 6, 5, 7, 8]","[131, 137, 135, 143, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2025,"[1, 6, 5, 7, 8]","[131, 137, 135, 143, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2026,"[1, 6, 5, 7, 8]","[131, 137, 135, 144, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2027,"[1, 6, 5, 7, 8]","[131, 137, 135, 144, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2028,"[1, 6, 5, 7, 8]","[131, 137, 136, 143, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2029,"[1, 6, 5, 7, 8]","[131, 137, 136, 143, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2030,"[1, 6, 5, 7, 8]","[131, 137, 136, 144, 141]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2031,"[1, 6, 5, 7, 8]","[131, 137, 136, 144, 142]","[""AgeCluster1"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2032,"[1, 6, 5, 7, 8]","[131, 138, 133, 143, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2033,"[1, 6, 5, 7, 8]","[131, 138, 133, 143, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2034,"[1, 6, 5, 7, 8]","[131, 138, 133, 144, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2035,"[1, 6, 5, 7, 8]","[131, 138, 133, 144, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2036,"[1, 6, 5, 7, 8]","[131, 138, 134, 143, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2037,"[1, 6, 5, 7, 8]","[131, 138, 134, 143, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2038,"[1, 6, 5, 7, 8]","[131, 138, 134, 144, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2039,"[1, 6, 5, 7, 8]","[131, 138, 134, 144, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2040,"[1, 6, 5, 7, 8]","[131, 138, 135, 143, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2041,"[1, 6, 5, 7, 8]","[131, 138, 135, 143, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2042,"[1, 6, 5, 7, 8]","[131, 138, 135, 144, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2043,"[1, 6, 5, 7, 8]","[131, 138, 135, 144, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2044,"[1, 6, 5, 7, 8]","[131, 138, 136, 143, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2045,"[1, 6, 5, 7, 8]","[131, 138, 136, 143, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2046,"[1, 6, 5, 7, 8]","[131, 138, 136, 144, 141]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2047,"[1, 6, 5, 7, 8]","[131, 138, 136, 144, 142]","[""AgeCluster1"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2048,"[1, 6, 5, 7, 8]","[131, 139, 133, 143, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2049,"[1, 6, 5, 7, 8]","[131, 139, 133, 143, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2050,"[1, 6, 5, 7, 8]","[131, 139, 133, 144, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2051,"[1, 6, 5, 7, 8]","[131, 139, 133, 144, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2052,"[1, 6, 5, 7, 8]","[131, 139, 134, 143, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2053,"[1, 6, 5, 7, 8]","[131, 139, 134, 143, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2054,"[1, 6, 5, 7, 8]","[131, 139, 134, 144, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2055,"[1, 6, 5, 7, 8]","[131, 139, 134, 144, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2056,"[1, 6, 5, 7, 8]","[131, 139, 135, 143, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2057,"[1, 6, 5, 7, 8]","[131, 139, 135, 143, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2058,"[1, 6, 5, 7, 8]","[131, 139, 135, 144, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2059,"[1, 6, 5, 7, 8]","[131, 139, 135, 144, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2060,"[1, 6, 5, 7, 8]","[131, 139, 136, 143, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2061,"[1, 6, 5, 7, 8]","[131, 139, 136, 143, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2062,"[1, 6, 5, 7, 8]","[131, 139, 136, 144, 141]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2063,"[1, 6, 5, 7, 8]","[131, 139, 136, 144, 142]","[""AgeCluster1"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2064,"[1, 6, 5, 7, 8]","[131, 140, 133, 143, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2065,"[1, 6, 5, 7, 8]","[131, 140, 133, 143, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2066,"[1, 6, 5, 7, 8]","[131, 140, 133, 144, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2067,"[1, 6, 5, 7, 8]","[131, 140, 133, 144, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2068,"[1, 6, 5, 7, 8]","[131, 140, 134, 143, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2069,"[1, 6, 5, 7, 8]","[131, 140, 134, 143, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2070,"[1, 6, 5, 7, 8]","[131, 140, 134, 144, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2071,"[1, 6, 5, 7, 8]","[131, 140, 134, 144, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2072,"[1, 6, 5, 7, 8]","[131, 140, 135, 143, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2073,"[1, 6, 5, 7, 8]","[131, 140, 135, 143, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2074,"[1, 6, 5, 7, 8]","[131, 140, 135, 144, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2075,"[1, 6, 5, 7, 8]","[131, 140, 135, 144, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2076,"[1, 6, 5, 7, 8]","[131, 140, 136, 143, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2077,"[1, 6, 5, 7, 8]","[131, 140, 136, 143, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2078,"[1, 6, 5, 7, 8]","[131, 140, 136, 144, 141]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2079,"[1, 6, 5, 7, 8]","[131, 140, 136, 144, 142]","[""AgeCluster1"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2080,"[1, 6, 5, 7, 8]","[132, 137, 133, 143, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2081,"[1, 6, 5, 7, 8]","[132, 137, 133, 143, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2082,"[1, 6, 5, 7, 8]","[132, 137, 133, 144, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2083,"[1, 6, 5, 7, 8]","[132, 137, 133, 144, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2084,"[1, 6, 5, 7, 8]","[132, 137, 134, 143, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2085,"[1, 6, 5, 7, 8]","[132, 137, 134, 143, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2086,"[1, 6, 5, 7, 8]","[132, 137, 134, 144, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2087,"[1, 6, 5, 7, 8]","[132, 137, 134, 144, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2088,"[1, 6, 5, 7, 8]","[132, 137, 135, 143, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2089,"[1, 6, 5, 7, 8]","[132, 137, 135, 143, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2090,"[1, 6, 5, 7, 8]","[132, 137, 135, 144, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2091,"[1, 6, 5, 7, 8]","[132, 137, 135, 144, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2092,"[1, 6, 5, 7, 8]","[132, 137, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2093,"[1, 6, 5, 7, 8]","[132, 137, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2094,"[1, 6, 5, 7, 8]","[132, 137, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2095,"[1, 6, 5, 7, 8]","[132, 137, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment1"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2096,"[1, 6, 5, 7, 8]","[132, 138, 133, 143, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2097,"[1, 6, 5, 7, 8]","[132, 138, 133, 143, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2098,"[1, 6, 5, 7, 8]","[132, 138, 133, 144, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2099,"[1, 6, 5, 7, 8]","[132, 138, 133, 144, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2100,"[1, 6, 5, 7, 8]","[132, 138, 134, 143, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2101,"[1, 6, 5, 7, 8]","[132, 138, 134, 143, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2102,"[1, 6, 5, 7, 8]","[132, 138, 134, 144, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2103,"[1, 6, 5, 7, 8]","[132, 138, 134, 144, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2104,"[1, 6, 5, 7, 8]","[132, 138, 135, 143, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2105,"[1, 6, 5, 7, 8]","[132, 138, 135, 143, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2106,"[1, 6, 5, 7, 8]","[132, 138, 135, 144, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2107,"[1, 6, 5, 7, 8]","[132, 138, 135, 144, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2108,"[1, 6, 5, 7, 8]","[132, 138, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2109,"[1, 6, 5, 7, 8]","[132, 138, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2110,"[1, 6, 5, 7, 8]","[132, 138, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2111,"[1, 6, 5, 7, 8]","[132, 138, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment2"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2112,"[1, 6, 5, 7, 8]","[132, 139, 133, 143, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2113,"[1, 6, 5, 7, 8]","[132, 139, 133, 143, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2114,"[1, 6, 5, 7, 8]","[132, 139, 133, 144, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2115,"[1, 6, 5, 7, 8]","[132, 139, 133, 144, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2116,"[1, 6, 5, 7, 8]","[132, 139, 134, 143, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2117,"[1, 6, 5, 7, 8]","[132, 139, 134, 143, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2118,"[1, 6, 5, 7, 8]","[132, 139, 134, 144, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2119,"[1, 6, 5, 7, 8]","[132, 139, 134, 144, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2120,"[1, 6, 5, 7, 8]","[132, 139, 135, 143, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2121,"[1, 6, 5, 7, 8]","[132, 139, 135, 143, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2122,"[1, 6, 5, 7, 8]","[132, 139, 135, 144, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2123,"[1, 6, 5, 7, 8]","[132, 139, 135, 144, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2124,"[1, 6, 5, 7, 8]","[132, 139, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2125,"[1, 6, 5, 7, 8]","[132, 139, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2126,"[1, 6, 5, 7, 8]","[132, 139, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2127,"[1, 6, 5, 7, 8]","[132, 139, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2128,"[1, 6, 5, 7, 8]","[132, 140, 133, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2129,"[1, 6, 5, 7, 8]","[132, 140, 133, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2130,"[1, 6, 5, 7, 8]","[132, 140, 133, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2131,"[1, 6, 5, 7, 8]","[132, 140, 133, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2132,"[1, 6, 5, 7, 8]","[132, 140, 134, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2133,"[1, 6, 5, 7, 8]","[132, 140, 134, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2134,"[1, 6, 5, 7, 8]","[132, 140, 134, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2135,"[1, 6, 5, 7, 8]","[132, 140, 134, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2136,"[1, 6, 5, 7, 8]","[132, 140, 135, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2137,"[1, 6, 5, 7, 8]","[132, 140, 135, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2138,"[1, 6, 5, 7, 8]","[132, 140, 135, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2139,"[1, 6, 5, 7, 8]","[132, 140, 135, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2140,"[1, 6, 5, 7, 8]","[132, 140, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2141,"[1, 6, 5, 7, 8]","[132, 140, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2142,"[1, 6, 5, 7, 8]","[132, 140, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2143,"[1, 6, 5, 7, 8]","[132, 140, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
